,sentence_id,sentence,category,sentiment
49,178:00:00,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.",LAPTOP#GENERAL,positive
50,178:01:00,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,LAPTOP#QUALITY,positive
51,178:02:00,Its still going.,LAPTOP#QUALITY,positive
52,178:03:00,It is in the best condition and has a really high quality.,LAPTOP#QUALITY,positive
53,178:04:00,This is something i would deffinately reccomend to someone.,LAPTOP#GENERAL,positive
54,178:05:00,You will not regret buying such a great thing like this!,LAPTOP#GENERAL,positive
55,178:06:00,It can't get any better.,LAPTOP#GENERAL,positive
56,77:00:00,"Waited on getting this computer, but it has been a great change.",LAPTOP#GENERAL,positive
57,77:01:00,Ease of use is just one of the benefits I love about my Mac.,LAPTOP#USABILITY,positive
58,342:00:00,This laptop meets every expectation and Windows 7 is great!,LAPTOP#GENERAL,positive
59,342:00:00,This laptop meets every expectation and Windows 7 is great!,OS#GENERAL,positive
60,342:01:00,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#OPERATION_PERFORMANCE,positive
61,342:01:00,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#USABILITY,positive
62,342:01:00,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#CONNECTIVITY,positive
63,342:02:00,It's even easy to hook up to other wireless networks.,LAPTOP#CONNECTIVITY,positive
65,342:04:00,I don't use my laptop in a way though that needs a long battery life so it's perfect for me.,BATTERY#OPERATION_PERFORMANCE,positive
66,348:00:00,"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#GENERAL,positive
67,348:00:00,"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#OPERATION_PERFORMANCE,positive
68,348:00:00,"Most everything is fine with this machine: speed, capacity, build.",HARD_DISC#DESIGN_FEATURES,positive
69,348:00:00,"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#QUALITY,positive
70,348:01:00,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",DISPLAY#QUALITY,negative
72,347:00:00,I bought it for really cheap also and it's AMAZING.,LAPTOP#PRICE,positive
73,347:00:00,I bought it for really cheap also and it's AMAZING.,LAPTOP#GENERAL,positive
75,347:02:00,Recommended to people as their first laptop.,LAPTOP#MISCELLANEOUS,positive
76,339:00:00,"Plain and simple, it(laptop) runs great and loads fast.",LAPTOP#OPERATION_PERFORMANCE,positive
77,339:01:00,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",LAPTOP#PORTABILITY,positive
78,339:01:00,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",LAPTOP#CONNECTIVITY,positive
80,273:00:00,I'm already hooked on the sleek look and dependability that this laptop has shown.,LAPTOP#DESIGN_FEATURES,positive
81,273:00:00,I'm already hooked on the sleek look and dependability that this laptop has shown.,LAPTOP#QUALITY,positive
83,273:02:00,The unibody design is edgy and durable.,LAPTOP#DESIGN_FEATURES,positive
84,273:02:00,The unibody design is edgy and durable.,LAPTOP#QUALITY,positive
85,273:03:00,The LED backlit display makes my pictures pop so much more.,DISPLAY#DESIGN_FEATURES,positive
86,273:04:00,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,MOUSE#DESIGN_FEATURES,positive
87,273:04:00,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,LAPTOP#USABILITY,positive
89,273:06:00,A key contributor that led me to Mac is the art aspect.,LAPTOP#DESIGN_FEATURES,positive
90,273:07:00,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,SOFTWARE#MISCELLANEOUS,positive
91,273:08:00,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,LAPTOP#GENERAL,positive
92,273:08:00,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,LAPTOP#OPERATION_PERFORMANCE,positive
93,273:09:00,It's more expensive but well worth it in the long run.,LAPTOP#PRICE,negative
94,273:09:00,It's more expensive but well worth it in the long run.,LAPTOP#GENERAL,positive
95,240:00:00,"Great product, very easy to use and great graphics.",LAPTOP#GENERAL,positive
96,240:00:00,"Great product, very easy to use and great graphics.",LAPTOP#USABILITY,positive
97,240:00:00,"Great product, very easy to use and great graphics.",GRAPHICS#GENERAL,positive
98,240:01:00,"One drawback, I wish the keys were backlit.",KEYBOARD#DESIGN_FEATURES,negative
99,240:02:00,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",LAPTOP#GENERAL,positive
101,243:00:00,It had most of the features and all of the power that I wanted to replace my desktop machine.,LAPTOP#DESIGN_FEATURES,positive
102,243:00:00,It had most of the features and all of the power that I wanted to replace my desktop machine.,LAPTOP#OPERATION_PERFORMANCE,positive
104,243:01:00,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,LAPTOP#PORTABILITY,positive
105,243:02:00,I'm very happy with this machine!,LAPTOP#GENERAL,positive
106,285:00:00,"I love the size, keyboard, the functions.",LAPTOP#DESIGN_FEATURES,positive
107,285:00:00,"I love the size, keyboard, the functions.",KEYBOARD#GENERAL,positive
108,285:00:00,"I love the size, keyboard, the functions.",LAPTOP#OPERATION_PERFORMANCE,positive
109,285:01:00,I don't really have a complaint.,LAPTOP#GENERAL,positive
110,285:02:00,"It is easy to use, good quality and good price.",LAPTOP#USABILITY,positive
111,285:02:00,"It is easy to use, good quality and good price.",LAPTOP#QUALITY,positive
112,285:02:00,"It is easy to use, good quality and good price.",LAPTOP#PRICE,positive
113,285:03:00,Perfect trifecta!,LAPTOP#GENERAL,positive
114,285:04:00,I would recommend this product.,LAPTOP#GENERAL,positive
115,212:00:00,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,SOFTWARE#GENERAL,negative
116,212:00:00,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,LAPTOP#GENERAL,negative
119,93:02:00,The DVD burner broke after burning 3 DVD'd during that time!,OPTICAL_DRIVES#QUALITY,negative
120,93:03:00,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,SUPPORT#QUALITY,negative
122,93:05:00,If this is an improvement in Customer Service then I would hate too see what it was before!,SUPPORT#QUALITY,negative
123,93:06:00,I spoke to 4 different people and was told they needed to transfer me to a 5th person!,SUPPORT#QUALITY,negative
124,93:07:00,Needless to say I told them No and have a nice day and hung up!,SUPPORT#QUALITY,negative
125,93:08:00,I can guarantee this will be the last Dell I will ever purchase!,LAPTOP#GENERAL,negative
126,93:08:00,I can guarantee this will be the last Dell I will ever purchase!,COMPANY#GENERAL,negative
127,93:09:00,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,LAPTOP#QUALITY,negative
128,93:09:00,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,SUPPORT#QUALITY,negative
129,93:10:00,I do not recommend this company or their products!!!!,COMPANY#GENERAL,negative
130,252:00:00,"So far, a great product.",LAPTOP#GENERAL,positive
131,252:01:00,"High price tag, however.",LAPTOP#PRICE,negative
133,19:00,it is the worst computer dell ever made.,LAPTOP#GENERAL,negative
134,19:01,it is hard to fix and makes it a hassle to own one.,LAPTOP#QUALITY,negative
135,19:01,it is hard to fix and makes it a hassle to own one.,LAPTOP#GENERAL,negative
136,19:02,breaks easily.,LAPTOP#QUALITY,negative
137,19:03,only good thing is the graphics quality.,GRAPHICS#QUALITY,positive
138,165:00:00,There are so many wonderful features and benefits to the new MacBook!,LAPTOP#DESIGN_FEATURES,positive
139,165:00:00,There are so many wonderful features and benefits to the new MacBook!,LAPTOP#GENERAL,positive
141,165:02:00,No Viruses!,LAPTOP#QUALITY,positive
142,165:03:00,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,LAPTOP#OPERATION_PERFORMANCE,positive
143,165:03:00,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,LAPTOP#USABILITY,positive
144,165:04:00,I am loyal to Apple.,COMPANY#GENERAL,positive
148,165:08:00,I am very Happy!,LAPTOP#GENERAL,positive
149,111:00:00,This just keeps having it's hard drive replaced!,HARD_DISC#QUALITY,negative
150,111:01:00,Acer won't replace the laptop.,SUPPORT#QUALITY,negative
151,111:02:00,the manufacturer's warranty only covers replacement/repair of parts.,WARRANTY#GENERAL,negative
152,111:03:00,This thing is a lemon.,LAPTOP#QUALITY,negative
153,292:00:00,This MacBook is an outstanding product with great value.,LAPTOP#GENERAL,positive
154,292:01:00,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,LAPTOP#USABILITY,positive
155,292:01:00,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,SUPPORT#QUALITY,positive
156,292:02:00,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",BATTERY#OPERATION_PERFORMANCE,positive
157,292:02:00,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",LAPTOP#OPERATION_PERFORMANCE,positive
161,359:02:00,I have had nothing but problems since the day I took it out of the box!,LAPTOP#GENERAL,negative
162,359:02:00,I have had nothing but problems since the day I took it out of the box!,LAPTOP#QUALITY,negative
163,359:03:00,My first problem was with the pre-loaded Norton Firewall/Security program.,SOFTWARE#GENERAL,negative
164,359:04:00,It would not let me connect to my Wifi system where I lived.,LAPTOP#CONNECTIVITY,negative
165,359:05:00,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,SUPPORT#QUALITY,negative
166,359:06:00,"Then just the other day, my left ""mouse"" button snapped!",MOUSE#QUALITY,negative
167,359:07:00,"Being only 2 months old, I am not a happy camper!",LAPTOP#QUALITY,negative
168,359:08:00,Buyer Beware.,LAPTOP#GENERAL,negative
169,359:09:00,"this one, in my opinion, might be a lemon!",LAPTOP#QUALITY,negative
170,95:00:00,It rarely works and when it does it's incredibly slow.,LAPTOP#QUALITY,negative
171,95:00:00,It rarely works and when it does it's incredibly slow.,LAPTOP#OPERATION_PERFORMANCE,negative
172,95:01:00,I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!,LAPTOP#QUALITY,negative
173,95:02:00,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!",LAPTOP#GENERAL,negative
174,360:00:00,Like the price and operation.,LAPTOP#PRICE,positive
175,360:00:00,Like the price and operation.,LAPTOP#OPERATION_PERFORMANCE,positive
176,360:01:00,"Some features arent friendly ( volume wheel, sound quality, etc.",LAPTOP#USABILITY,negative
177,360:01:00,"Some features arent friendly ( volume wheel, sound quality, etc.",MULTIMEDIA_DEVICES#USABILITY,negative
178,360:01:00,"Some features arent friendly ( volume wheel, sound quality, etc.",MULTIMEDIA_DEVICES#QUALITY,negative
179,360:02:00,"But, for the cost this is a winner.",LAPTOP#GENERAL,positive
181,66:00:00,I absolutely love my mac!,LAPTOP#GENERAL,positive
182,66:01:00,I can't imagine my life without it anymore!,LAPTOP#GENERAL,positive
184,384:00:00,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,LAPTOP#GENERAL,positive
185,384:00:00,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,PORTS#QUALITY,negative
186,384:01:00,Apparently they are defective since they are not securely attached.,PORTS#QUALITY,negative
187,384:02:00,I can barely use any usb devices because they will not stay connected properly.,LAPTOP#CONNECTIVITY,negative
188,384:03:00,I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.,SUPPORT#QUALITY,negative
189,384:04:00,I think I might rather suffer for something that is simple to fix in my opinion.,SUPPORT#QUALITY,negative
190,54:00:00,I bought this laptop Was the worst Laptop I've ever bought.,LAPTOP#GENERAL,negative
191,54:01:00,I spent alot of money on this product and its been a nightmare.,LAPTOP#PRICE,negative
192,54:01:00,I spent alot of money on this product and its been a nightmare.,LAPTOP#GENERAL,negative
193,54:02:00,And having to deal with the company has been a even worse nightmare.,SUPPORT#QUALITY,negative
195,54:04:00,They sent it back with a huge crack in it and it still didn't work.,SUPPORT#QUALITY,negative
196,54:05:00,And that was the fourth time ive sent it to them to get fixed.,SUPPORT#QUALITY,negative
197,54:06:00,Its been a year and am still waiting to see what there going to do about my laptop.,SUPPORT#QUALITY,negative
198,54:07:00,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,COMPANY#GENERAL,negative
199,176:00:00,I saved for this laptop for 3 months and I can tell you personally it was worth the wait.,LAPTOP#GENERAL,positive
200,176:01:00,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",DISPLAY#GENERAL,positive
201,176:01:00,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",BATTERY#OPERATION_PERFORMANCE,positive
202,176:02:00,"A little pricey but it is well, well worth it.",LAPTOP#PRICE,negative
203,176:02:00,"A little pricey but it is well, well worth it.",LAPTOP#GENERAL,positive
205,176:04:00,It is amazing.,LAPTOP#GENERAL,positive
206,59:00:00,In the first moth of owning this computer its hardrive failed which had to be replaced.,HARD_DISC#QUALITY,negative
207,59:01:00,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,BATTERY#QUALITY,negative
208,59:01:00,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,BATTERY#OPERATION_PERFORMANCE,negative
209,59:02:00,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,POWER_SUPPLY#QUALITY,negative
210,59:02:00,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,POWER_SUPPLY#OPERATION_PERFORMANCE,negative
211,59:02:00,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,HARDWARE#QUALITY,negative
212,59:03:00,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,LAPTOP#GENERAL,negative
213,59:03:00,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,LAPTOP#QUALITY,negative
214,170:00:00,Has a 5-6 hour battery life.,BATTERY#OPERATION_PERFORMANCE,positive
216,170:02:00,It is easy to use and lightweight.,LAPTOP#USABILITY,positive
217,170:02:00,It is easy to use and lightweight.,LAPTOP#DESIGN_FEATURES,positive
218,170:03:00,Was very much worth the price i paid.,LAPTOP#GENERAL,positive
219,170:03:00,Was very much worth the price i paid.,LAPTOP#PRICE,positive
220,90:00:00,This netbook went bad on me after 3 days.,LAPTOP#QUALITY,negative
221,90:01:00,There is a blank lighted screen when I start and that is all.,DISPLAY#OPERATION_PERFORMANCE,negative
224,220:01:00,"Three weeks after I bought the netbook, the screen quit working.",DISPLAY#QUALITY,negative
225,220:01:00,"Three weeks after I bought the netbook, the screen quit working.",DISPLAY#OPERATION_PERFORMANCE,negative
226,220:02:00,I baby my electronics so I know for a fact it was defective and not anything that I did to it.,DISPLAY#QUALITY,negative
227,220:03:00,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",LAPTOP#QUALITY,negative
228,220:03:00,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",LAPTOP#OPERATION_PERFORMANCE,negative
229,220:03:00,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",BATTERY#OPERATION_PERFORMANCE,positive
230,278:00:00,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,LAPTOP#PORTABILITY,positive
231,278:00:00,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,LAPTOP#DESIGN_FEATURES,positive
232,278:00:00,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,LAPTOP#GENERAL,positive
234,135:00:00,The So called laptop Runs to Slow and I hate it!,LAPTOP#OPERATION_PERFORMANCE,negative
235,135:00:00,The So called laptop Runs to Slow and I hate it!,LAPTOP#GENERAL,negative
236,135:01:00,Do not  buy it!,LAPTOP#GENERAL,negative
237,135:02:00,It is the worst laptop ever,LAPTOP#GENERAL,negative
238,159:00:00,"The image is great, and the soud is excelent.",DISPLAY#QUALITY,positive
239,159:00:00,"The image is great, and the soud is excelent.",MULTIMEDIA_DEVICES#QUALITY,positive
240,159:01:00,i love ths notebook.,LAPTOP#GENERAL,positive
241,57:00:00,I love the glass touchpad.,MOUSE#DESIGN_FEATURES,positive
242,57:01:00,Easy learning curve.,LAPTOP#USABILITY,positive
243,57:02:00,Also the display is exceptional!,DISPLAY#GENERAL,positive
244,76:00:00,I have loved this since i took it out of the box.,LAPTOP#GENERAL,positive
245,76:01:00,The battery is really long.,BATTERY#OPERATION_PERFORMANCE,positive
246,76:02:00,"the features are great, the only thing it needs is better speakers.",LAPTOP#DESIGN_FEATURES,positive
247,76:02:00,"the features are great, the only thing it needs is better speakers.",MULTIMEDIA_DEVICES#GENERAL,negative
248,28:00:00,Small and light weight.,LAPTOP#DESIGN_FEATURES,positive
249,28:01:00,Speakers too small to be of any real use.,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative
250,28:01:00,Speakers too small to be of any real use.,MULTIMEDIA_DEVICES#USABILITY,negative
251,28:02:00,Keyboard good sized and wasy to use.,KEYBOARD#DESIGN_FEATURES,positive
252,28:02:00,Keyboard good sized and wasy to use.,KEYBOARD#USABILITY,positive
253,28:03:00,I like it!,LAPTOP#GENERAL,positive
254,267:00:00,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,LAPTOP#GENERAL,positive
255,267:00:00,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,LAPTOP#DESIGN_FEATURES,positive
256,267:00:00,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,LAPTOP#PORTABILITY,positive
257,132:00:00,"Needless to say, not to happy with the product.",LAPTOP#GENERAL,negative
258,167:00:00,This is a great machine!,LAPTOP#GENERAL,positive
259,167:01:00,"The design is awesome, quality is unprecedented.",LAPTOP#DESIGN_FEATURES,positive
260,167:01:00,"The design is awesome, quality is unprecedented.",LAPTOP#QUALITY,positive
261,169:00:00,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#QUALITY,positive
262,169:00:00,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#DESIGN_FEATURES,positive
263,169:00:00,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#PRICE,positive
264,169:00:00,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#OPERATION_PERFORMANCE,positive
265,197:00:00,It is by far one of the greatest investments I have ever made.,LAPTOP#GENERAL,positive
267,284:01:00,"Am very glad I bought it, great netbook, low price.",LAPTOP#GENERAL,positive
268,284:01:00,"Am very glad I bought it, great netbook, low price.",LAPTOP#PRICE,positive
269,299:00:00,Very good quality and well made.,LAPTOP#QUALITY,positive
270,299:01:00,Great pick for portability and affordability.,LAPTOP#PORTABILITY,positive
271,299:01:00,Great pick for portability and affordability.,LAPTOP#PRICE,positive
272,299:02:00,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,LAPTOP#DESIGN_FEATURES,positive
273,321:00:00,The only problem is a lack of screen resolutions!,DISPLAY#QUALITY,negative
274,321:00:00,The only problem is a lack of screen resolutions!,LAPTOP#GENERAL,positive
275,325:00:00,"If you need an affordable, entry-level laptop, this will fit the bill.",LAPTOP#PRICE,positive
276,325:00:00,"If you need an affordable, entry-level laptop, this will fit the bill.",LAPTOP#MISCELLANEOUS,positive
277,325:01:00,"I dislike the weight and size, cubersome.",LAPTOP#PORTABILITY,negative
278,325:01:00,"I dislike the weight and size, cubersome.",LAPTOP#DESIGN_FEATURES,negative
279,325:02:00,I dislike the quality and the placement of the speakers.,MULTIMEDIA_DEVICES#QUALITY,negative
280,325:02:00,I dislike the quality and the placement of the speakers.,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative
282,326:00:00,"Laptop is advertised as a 15"" but the casing looks like that of a 17"".",LAPTOP#DESIGN_FEATURES,negative
283,326:01:00,This laptop is very large and barely fits in any carrying cases.,LAPTOP#DESIGN_FEATURES,negative
284,326:01:00,This laptop is very large and barely fits in any carrying cases.,LAPTOP#PORTABILITY,negative
285,326:02:00,Peformance is good for the price.,LAPTOP#OPERATION_PERFORMANCE,positive
287,326:03:00,"If you're not wanting to be mobile, this is a good laptop to sit on a desk.",LAPTOP#PORTABILITY,negative
288,326:03:00,"If you're not wanting to be mobile, this is a good laptop to sit on a desk.",LAPTOP#GENERAL,positive
289,8:00,Had to have this computer repaired twice in the first 5 months after purchasing it.,LAPTOP#QUALITY,negative
290,8:01,Not good for a person who gets online daily.,LAPTOP#MISCELLANEOUS,negative
292,83:00:00,"I just got this laptop for college, and so far I am very happy with it.",LAPTOP#GENERAL,positive
294,83:02:00,It is so much easier to use,LAPTOP#USABILITY,positive
295,81:00:00,"Good keyboard, long battery life, largest hard drive and windows 7.",KEYBOARD#GENERAL,positive
296,81:00:00,"Good keyboard, long battery life, largest hard drive and windows 7.",BATTERY#OPERATION_PERFORMANCE,positive
297,81:00:00,"Good keyboard, long battery life, largest hard drive and windows 7.",HARD_DISC#DESIGN_FEATURES,positive
298,81:00:00,"Good keyboard, long battery life, largest hard drive and windows 7.",OS#GENERAL,positive
299,81:01:00,And Toshiba is a quality supplier.,COMPANY#GENERAL,positive
300,80:00:00,I love this little one.,LAPTOP#GENERAL,positive
301,80:01:00,The keyboard has a wonderful nature feel.,KEYBOARD#QUALITY,positive
304,44:00:00,great battery life.,BATTERY#OPERATION_PERFORMANCE,positive
305,44:01:00,Keyboard is reasonable size.,KEYBOARD#DESIGN_FEATURES,positive
306,44:02:00,Small screen somewhat limiting but great for travel.,DISPLAY#DESIGN_FEATURES,negative
307,44:02:00,Small screen somewhat limiting but great for travel.,LAPTOP#PORTABILITY,positive
308,44:03:00,Charger seems large for this class of computer.,POWER_SUPPLY#DESIGN_FEATURES,negative
309,200:00:00,"Great Laptop for the price, works well with action pack games.",LAPTOP#GENERAL,positive
311,200:00:00,"Great Laptop for the price, works well with action pack games.",LAPTOP#MISCELLANEOUS,positive
312,200:01:00,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",KEYBOARD#DESIGN_FEATURES,negative
313,200:01:00,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",KEYBOARD#USABILITY,negative
314,200:02:00,but other then that I would give this product a 4 in hafe stars.,LAPTOP#GENERAL,positive
315,206:00:00,Good for every day computing and web browsing.,LAPTOP#MISCELLANEOUS,positive
316,177:00:00,A great computer for light home use and business use.,LAPTOP#MISCELLANEOUS,positive
318,177:02:00,"Crisp screen, great battery life, and plenty of storage.",DISPLAY#QUALITY,positive
319,177:02:00,"Crisp screen, great battery life, and plenty of storage.",BATTERY#OPERATION_PERFORMANCE,positive
320,177:02:00,"Crisp screen, great battery life, and plenty of storage.",HARD_DISC#DESIGN_FEATURES,positive
321,177:03:00,Very happy.,LAPTOP#GENERAL,positive
324,276:02:00,He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,LAPTOP#GENERAL,positive
325,276:02:00,He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,LAPTOP#USABILITY,positive
327,276:04:00,I would recomend this acer to parents and grandparents it can really help them in school.,LAPTOP#MISCELLANEOUS,positive
