,sentence_id,sentence,category,sentiment
29,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",food#quality,positive
30,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",service#general,positive
31,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",ambience#general,positive
32,1032695:2,I had the duck breast special on my last visit and it was incredible.,food#quality,positive
33,1032695:3,Can't wait wait for my next visit.,restaurant#general,positive
35,1041457:1,And I hate to say this but I doubt I'll ever go back. ,restaurant#general,negative
36,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",food#quality,negative
37,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",food#quality,negative
38,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",food#quality,negative
39,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,food#quality,positive
40,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,food#quality,positive
41,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,food#style_options,positive
43,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",ambience#general,negative
44,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",ambience#general,positive
45,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",ambience#general,negative
48,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",drinks#style_options,positive
49,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",service#general,positive
50,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",food#quality,positive
51,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",food#quality,positive
52,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service#general,positive
53,1055910:0,we love th pink pony.,restaurant#general,positive
54,1055910:1,THe perfect spot.,restaurant#general,positive
55,1055910:2,Food-awesome.,food#quality,positive
56,1055910:3,Service- friendly and attentive.,service#general,positive
57,1055910:4,Ambiance- relaxed and stylish.,ambience#general,positive
58,1055910:5,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",restaurant#general,positive
62,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",service#general,negative
63,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",service#general,negative
64,1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",service#general,negative
65,1058221:6,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ",restaurant#general,negative
66,1058221:7,the last time i walked by it looked pretty empty. hmmm.,restaurant#miscellaneous,negative
67,1062641:0,This place has got to be the best japanese restaurant in the new york area.,restaurant#general,positive
68,1062641:1,I had a great experience.,restaurant#general,positive
69,1062641:2,Food is great.,food#quality,positive
70,1062641:3,Service is top notch.,service#general,positive
71,1062641:4,I have been going back again and again.,restaurant#general,positive
72,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",food#quality,positive
73,1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",food#quality,positive
74,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,food#quality,positive
75,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,food#style_options,positive
76,1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,food#style_options,positive
77,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,food#quality,positive
78,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,food#prices,positive
81,1074868:2,Surprisingly nothing could be further from the truth.,restaurant#miscellaneous,positive
82,1074868:3,"In the evening, this place attracted a well dressed, with it, NY crowd.",restaurant#miscellaneous,positive
83,1074868:4,The food was well prepared and the service impecable.,food#quality,positive
84,1074868:4,The food was well prepared and the service impecable.,service#general,positive
85,1074868:5,I'm going back.,restaurant#general,positive
87,1084394:1,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,ambience#general,positive
89,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,food#quality,positive
90,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,food#style_options,positive
91,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,food#prices,positive
92,1084394:4,I will be going back and heartily recommend it!,restaurant#general,positive
94,1086415:1,"It is terrific, as is the value.",food#quality,positive
95,1086415:1,"It is terrific, as is the value.",food#prices,positive
96,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",food#style_options,positive
97,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",food#quality,positive
98,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",food#prices,positive
99,1086415:3,"I am not a vegetarian but, almost all the dishes were great.",food#quality,positive
101,1086415:5,Go hungry and enjoy.,restaurant#general,positive
102,1086478:0,"The food here is rather good, but only if you like to wait for it.",food#quality,positive
103,1086478:0,"The food here is rather good, but only if you like to wait for it.",service#general,negative
104,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",food#quality,positive
105,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",food#quality,positive
106,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",food#quality,positive
107,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",food#quality,negative
108,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",food#quality,negative
109,1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.",service#general,negative
110,1086478:3,"The kitchen however, is almost always slow.",service#general,negative
111,1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",food#quality,negative
112,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",ambience#general,positive
113,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",restaurant#miscellaneous,positive
115,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,location#general,positive
116,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service#general,positive
117,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food#quality,positive
118,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food#prices,positive
119,1090587:3,The lava cake dessert was incredible and I recommend it.,food#quality,positive
120,1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",ambience#general,positive
121,1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",ambience#general,positive
122,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",food#quality,positive
123,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",food#quality,negative
124,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",food#style_options,positive
125,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",food#quality,negative
126,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",ambience#general,positive
129,1118167:1,IT WAS HORRIBLE.,restaurant#general,negative
130,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,food#quality,negative
131,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,food#quality,negative
132,1118167:3,It looked like shredded cheese partly done - still in strips.,food#style_options,negative
134,1119578:0,This has got to be one of the most overrated restaurants in Brooklyn.,restaurant#general,negative
135,1119578:1,The pizza is overpriced and soggy.,food#quality,negative
136,1119578:1,The pizza is overpriced and soggy.,food#prices,negative
137,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",food#quality,positive
138,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",food#quality,negative
139,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",food#quality,negative
140,1119578:3,"A big disappointment, all around.",restaurant#general,negative
141,1123262:0,I think I've had some the best meals of my life at minnow.,food#quality,positive
142,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",food#quality,positive
143,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",drinks#style_options,positive
144,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",food#style_options,positive
145,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,food#quality,positive
146,1123262:3,Worth the trip from Manhattan.,restaurant#general,positive
148,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,food#quality,positive
149,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,food#style_options,positive
151,1125006:3,My wife had the fried shrimp which are huge and loved it.,food#style_options,positive
152,1125006:3,My wife had the fried shrimp which are huge and loved it.,food#quality,positive
154,1125284:0,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",restaurant#general,positive
155,1125284:1,This place is the most Japanese it can ever get.,restaurant#miscellaneous,positive
156,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",restaurant#miscellaneous,positive
157,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",food#style_options,positive
158,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",food#quality,positive
159,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",service#general,positive
160,1125284:3,This place is worth an one-hour drive.,restaurant#general,positive
161,1125284:4,"I am so coming back here again, as much as I can.",restaurant#general,positive
162,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",restaurant#general,positive
163,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",ambience#general,positive
164,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",food#quality,positive
165,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",ambience#general,positive
166,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",food#quality,positive
167,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",service#general,positive
170,1126814:3,Decent wine at reasonable prices.,drinks#prices,positive
171,1126814:4,Have been dozens of times and never failed to enjoy the experience.,restaurant#general,positive
172,1126814:5,"Our teenage kids love it, too.",restaurant#general,positive
173,1126886:0,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",restaurant#general,positive
174,1126886:1,This is by far my favorite place in the neighborhood.,restaurant#general,positive
175,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",service#general,positive
176,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",ambience#general,positive
177,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",food#quality,positive
178,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",food#style_options,positive
180,1126886:4,I'm partial to the Gnocchi.,restaurant#general,positive
181,1131595:0,This place is incredibly tiny.,restaurant#miscellaneous,negative
182,1131595:1,They refuse to seat parties of 3 or more on weekends.,service#general,negative
183,1131595:2,The hostess is rude to the point of being offensive.,service#general,negative
184,1131595:3,The food was bland oily.,food#quality,negative
185,1131595:4,I just don't understand all the hype...,restaurant#general,negative
187,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",food#quality,positive
188,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",drinks#quality,positive
189,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",service#general,positive
190,1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",service#general,positive
191,1138996:3,As always we had a great glass of wine while we waited.,drinks#quality,positive
192,1138996:4,"When we sat, we got great and fast service.",service#general,positive
193,1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,service#general,positive
194,1138996:6,Make sure you try this place as often as you can.,restaurant#general,positive
195,1145510:0,This is a fun restaurant to go to.,restaurant#general,positive
196,1145510:1,The pizza is yummy and I like the atmoshpere.,food#quality,positive
197,1145510:1,The pizza is yummy and I like the atmoshpere.,ambience#general,positive
198,1145510:2,But the pizza is way to expensive.,food#prices,negative
199,1145510:3,"A large is $20, and toppings are about $3 each.",food#prices,negative
200,1145510:3,"A large is $20, and toppings are about $3 each.",food#prices,negative
201,1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,food#quality,negative
202,1147082:1,Sauce was watery and the food didn't have much flavor.,food#quality,negative
203,1147082:1,Sauce was watery and the food didn't have much flavor.,food#quality,negative
205,1147082:3,I don't think I would go again.,restaurant#general,negative
206,1147211:0,This place is great.,restaurant#general,positive
207,1147211:1,I had a huge group for my birthday and we were well taken care of.,service#general,positive
208,1147211:2,The waitress was very patient with us and the food is phenomenal!,service#general,positive
209,1147211:2,The waitress was very patient with us and the food is phenomenal!,food#quality,positive
210,1147211:3,"Service was prompt, friendly and great.",service#general,positive
211,1147211:4,Slightly on the pricey side but worth it!,restaurant#prices,negative
212,1147211:4,Slightly on the pricey side but worth it!,restaurant#general,positive
213,1153034:0,Great pizza and fantastic service.,food#quality,positive
214,1153034:0,Great pizza and fantastic service.,service#general,positive
215,1153034:1,"There was a small wait, but shorter than I expected.",service#general,positive
216,1153034:2,Located at the end of a magnificent block.,location#general,positive
217,1153034:3,Very cozy and warm inside.....,ambience#general,positive
218,1153034:4,I will be back!,restaurant#general,positive
219,1154550:0,This is the best sushi in new york city - hands down.,food#quality,positive
220,1154550:1,The place is small and cramped but the food is fantastic.,ambience#general,negative
221,1154550:1,The place is small and cramped but the food is fantastic.,food#quality,positive
222,1154550:2,Get the tuna of gari.,food#quality,positive
224,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",food#quality,positive
225,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",food#quality,positive
226,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",restaurant#general,positive
227,1162037:1,"With the great variety on the menu , I eat here often and never get bored .",food#style_options,positive
229,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",restaurant#prices,positive
230,1162037:3,It's all about the food !!,food#quality,positive
232,1167434:1,first it took us a long time to find the place.,restaurant#miscellaneous,negative
234,1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",food#style_options,negative
237,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",food#quality,negative
238,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",food#quality,negative
239,1167434:6,"they were dry and disgusting, i didn't even finish my first piece.",food#quality,negative
240,1175958:0,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,service#general,positive
241,1175958:1,"Try the crunchy tuna, it is to die for.",food#quality,positive
242,1175958:2,"Try everything for that matter, it is all good.",food#quality,positive
243,1175958:3,I have been going there since it opened and I can't get enough.,restaurant#general,positive
244,1189674:0,First went here to enjoy their garden terrace.,ambience#general,positive
245,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",food#quality,positive
246,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",service#general,positive
247,1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.",food#style_options,positive
248,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",ambience#general,positive
249,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",ambience#general,negative
250,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",drinks#style_options,positive
251,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",drinks#quality,positive
252,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",drinks#prices,positive
254,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",ambience#general,positive
255,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",food#quality,positive
256,1189674:6,"Have recommended the place to friends, always gets good response.",restaurant#miscellaneous,positive
257,1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",food#quality,positive
258,1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",food#quality,positive
261,1199292:3,I take all my NYC guests to VT's.,restaurant#miscellaneous,positive
262,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",location#general,positive
263,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",food#quality,positive
264,1199480:1,I've been there three times and have always had wonderful experiences.,restaurant#general,positive
265,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,ambience#general,positive
266,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,service#general,positive
267,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,restaurant#miscellaneous,positive
268,1205520:0,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,restaurant#general,positive
269,1205520:1,Even after they overcharged me the last time I was there.,service#general,negative
270,1205520:2,Make sure you have the Spicy Scallop roll.. .,food#quality,positive
271,1205520:3,it's delicious!,food#quality,positive
272,1212346:0,"Moules were excellent, lobster ravioli was VERY salty!",food#quality,positive
273,1212346:0,"Moules were excellent, lobster ravioli was VERY salty!",food#quality,negative
274,1212346:1,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",service#general,negative
275,1212346:2,"Told us to sit anywhere, and when we sat he said the table was reserved.",service#general,negative
276,1212346:3,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,service#general,negative
277,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,food#style_options,negative
278,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,food#prices,negative
279,1221938:0,The drinks are always welll made and wine selection is fairly priced.,drinks#quality,positive
280,1221938:0,The drinks are always welll made and wine selection is fairly priced.,drinks#prices,positive
281,1221938:1,Try their chef's specials-- they are to die for.,food#quality,positive
283,1221938:3,Downstairs lounge is always a good attraction,ambience#general,positive
284,1225162:0,"Raga's is a romantic, cozy restaurant.",ambience#general,positive
285,1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,food#style_options,positive
286,1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,food#quality,positive
287,1225162:2,It is also extremely well priced.,food#prices,positive
288,1225162:3,The staff is incredibly helpful and attentive.,service#general,positive
289,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,drinks#style_options,positive
290,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,drinks#style_options,positive
291,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,drinks#prices,positive
292,1225162:5,This is one of my favorite restaurants and it is not to be missed.,restaurant#general,positive
293,1225162:6,Your friends will thank you for introducing them to this gem!,restaurant#general,positive
294,1227999:0,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",restaurant#general,negative
295,1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",service#general,negative
296,1227999:2,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. ",service#general,negative
297,1227999:3,Such a disappointment...,service#general,negative
298,1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",service#general,negative
300,1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",restaurant#general,negative
301,1230993:0,I had a grat time at Jekyll and Hyde!,restaurant#general,positive
302,1230993:1,I loved everythig about it-especially the shows and actors.,restaurant#general,positive
303,1230993:1,I loved everythig about it-especially the shows and actors.,ambience#general,positive
304,1230993:1,I loved everythig about it-especially the shows and actors.,ambience#general,positive
305,1230993:2,Our server was very helpful and friendly.,service#general,positive
306,1230993:3,I am bringing my whole family back next time.,restaurant#miscellaneous,positive
307,1230993:4,The food was good too.,food#quality,positive
308,1232468:0,The tuna and wasabe potatoes are excellent.,food#quality,positive
309,1232468:0,The tuna and wasabe potatoes are excellent.,food#quality,positive
310,1232468:1,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,location#general,positive
312,1232468:3,Service was prompt and courteous.,service#general,positive
313,1232468:4,This was a repeat visit and we'll definitely be back again.,restaurant#general,positive
314,1241906:0,"Great service, great food.",service#general,positive
315,1241906:0,"Great service, great food.",food#quality,positive
318,1241906:3,But too far east!,location#general,negative
320,1253117:1,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",food#quality,positive
321,1253117:1,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",food#quality,positive
322,1253117:2,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",food#style_options,negative
323,1253117:3,"Also, because it is so thin, it gets cold very quickly and its not that filling.",food#quality,negative
324,1253117:3,"Also, because it is so thin, it gets cold very quickly and its not that filling.",food#style_options,negative
326,1253117:5,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,service#general,negative
327,1253117:5,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,food#quality,positive
328,1256373:0,By far the best salad I have had in a fast food restaurant.,food#quality,positive
329,1256373:1,fine dining restaurant quality.,food#quality,positive
330,1256373:2,Over 100 different choices to create your own.,food#style_options,positive
331,1256373:3,A must try!,restaurant#general,positive
332,1264954:0,"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",restaurant#general,positive
333,1264954:1,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",food#quality,positive
334,1264954:1,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",ambience#general,positive
335,1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",food#quality,positive
336,1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",food#style_options,positive
337,1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",food#quality,positive
338,1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",service#general,positive
339,1264954:3,"With so many poor experiences to be had in the theater district, is truly an excellent find!",restaurant#general,positive
340,1264954:4,We will return many times for this oasis in mid-town.,restaurant#general,positive
342,1269216:1,The staff is no nonsense.,service#general,positive
343,1269216:2,The food options rule.,food#style_options,positive
344,1269216:3,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,food#quality,positive
345,1269216:4,Worth visiting the 1st Ave spot because it is the original store.,restaurant#miscellaneous,positive
350,1275154:4,"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!",food#quality,positive
352,1275154:6,The sake menu should not be overlooked!,drinks#style_options,positive
353,1275154:7,"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.",restaurant#general,positive
354,1275154:8,Try the lobster teriyaki and the rose special roll.,food#quality,positive
355,1275154:8,Try the lobster teriyaki and the rose special roll.,food#quality,positive
357,1280166:1,"Service was very good - prompt, attentive and non-intrusive.",service#general,positive
358,1280166:2,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",food#quality,positive
359,1280166:2,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",food#quality,negative
360,1280166:3,Wine list selection is good and wine-by-the-glass was generously filled to the top.,drinks#style_options,positive
361,1280166:3,Wine list selection is good and wine-by-the-glass was generously filled to the top.,drinks#style_options,positive
362,1280166:4,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,ambience#general,positive
363,1280166:4,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,ambience#general,negative
364,1280179:0,"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.",restaurant#general,positive
366,1280179:2,"Seating is always prompt, though the restaurant does fill up in the evening.",service#general,positive
367,1280179:3,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",food#quality,positive
